pid,alt_chosen,num_viewed,info_acquisitions,time
341,3,59,"info_item_1, info_item_2, info_item_3, info_item_4, info_item_5, info_item_6, info_item_7, info_item_8, info_item_9, info_item_10, info_item_15, info_item_11, info_item_12, info_item_13, info_item_14, info_item_15, info_item_13, info_item_16, info_item_17, info_item_18, info_item_19, info_item_20, info_item_2, info_item_18, info_item_14, info_item_10, info_item_6, info_item_2, info_item_5, info_item_6, info_item_7, info_item_9, info_item_5, info_item_10, info_item_6, info_item_11, info_item_7, info_item_5, info_item_6, info_item_19, info_item_18, info_item_17, info_item_9, info_item_5, info_item_1, info_item_5, info_item_5, info_item_9, info_item_13, info_item_17, info_item_3, info_item_7, info_item_11, info_item_15, info_item_3, info_item_7, info_item_11, info_item_19, info_item_17",599
342,3,3,"info_item_3, info_item_1, info_item_5",149
343,3,18,"info_item_7, info_item_11, info_item_15, info_item_19, info_item_3, info_item_10, info_item_6, info_item_2, info_item_14, info_item_8, info_item_8, info_item_12, info_item_16, info_item_20, info_item_12, info_item_8, info_item_7, info_item_11",223
344,2,17,"info_item_2, info_item_18, info_item_14, info_item_10, info_item_13, info_item_17, info_item_9, info_item_5, info_item_1, info_item_7, info_item_6, info_item_8, info_item_3, info_item_2, info_item_6, info_item_10, info_item_14",104
345,3,5,"info_item_3, info_item_7, info_item_11, info_item_15, info_item_19",144
346,3,28,"info_item_1, info_item_2, info_item_3, info_item_4, info_item_5, info_item_6, info_item_7, info_item_8, info_item_9, info_item_10, info_item_11, info_item_12, info_item_13, info_item_14, info_item_15, info_item_16, info_item_17, info_item_18, info_item_19, info_item_20, info_item_16, info_item_12, info_item_19, info_item_15, info_item_3, info_item_7, info_item_11, info_item_9",297
347,2,3,"info_item_2, info_item_1, info_item_14",139
348,3,21,"info_item_1, info_item_5, info_item_9, info_item_13, info_item_17, info_item_2, info_item_6, info_item_10, info_item_14, info_item_18, info_item_3, info_item_7, info_item_11, info_item_15, info_item_19, info_item_4, info_item_8, info_item_12, info_item_16, info_item_20, info_item_15",127
349,3,15,"info_item_2, info_item_2, info_item_19, info_item_9, info_item_10, info_item_11, info_item_12, info_item_13, info_item_14, info_item_15, info_item_16, info_item_7, info_item_3, info_item_15, info_item_19",177
350,3,8,"info_item_13, info_item_1, info_item_9, info_item_17, info_item_18, info_item_20, info_item_3, info_item_19",105
351,2,2,"info_item_2, info_item_6",115
352,3,18,"info_item_3, info_item_7, info_item_11, info_item_19, info_item_16, info_item_15, info_item_20, info_item_8, info_item_4, info_item_1, info_item_5, info_item_9, info_item_13, info_item_14, info_item_2, info_item_6, info_item_10, info_item_18",200
